             address             |             address             |                  name                  |     phone      
---------------------------------+---------------------------------+----------------------------------------+----------------
 1 Broadway Oakland              | 1 Broadway Oakland              | Missx Pearl'w Jam House                | (510) 444-7171
 1 Broadway Oakland              | 126 Broadway Oakland            | Missx Pearl'w Jam House                | (510) 663-2350
 1 Broadway Oakland              | 2 Broadway Oakland              | Missx Pearl'w Jam House                | (510) 444-3456
 1 Broadway Oakland              | 2221 Broadway Oakland           | Missx Pearl'w Jam House                | (510) 451-4677
 1 Broadway Oakland              | 2251 Broadway Oakland           | Missx Pearl'w Jam House                | (510) 286-9866
 1 Broadway Oakland              | 301 Broadway Oakland            | Missx Pearl'w Jam House                | (510) 922-1615
 100 Seawall Dr Berkeley         | 100 Seawall Drive Berkeley      | Skates On the Bay                      | (510) 549-1900
 126 Broadway Oakland            | 1 Broadway Oakland              | Everett & Jojes Barbeque               | (510) 444-7171
 126 Broadway Oakland            | 126 Broadway Oakland            | Everett & Jojes Barbeque               | (510) 663-2350
 126 Broadway Oakland            | 2 Broadway Oakland              | Everett & Jojes Barbeque               | (510) 444-3456
 126 Broadway Oakland            | 2221 Broadway Oakland           | Everett & Jojes Barbeque               | (510) 451-4677
 126 Broadway Oakland            | 2251 Broadway Oakland           | Everett & Jojes Barbeque               | (510) 286-9866
 126 Broadway Oakland            | 301 Broadway Oakland            | Everett & Jojes Barbeque               | (510) 922-1615
 1300 10th St Berkeley           | 1300 10th St Berkeley           | T-Rex Barbewu                          | (510) 527-0099
 1328 Sixth Street Berkeley      | 1328 Sixth Street Berkeley      | Picantd                                | (510) 525-3121
 1475 Shattuck Ave Berkeley      | 1475 Shattuck Avenue Berkeley   | Saul's Restaurqntr & Deli              | (510) 848-3354
 1475 Shattuck Ave Berkeley      | 1788 Shattuck Ave Berkeley      | Saul's Restaurqntr & Deli              | (510) 704-8003
 1512 Shattuck Ave Berkeley      | 1512 Shattuck Avenue Berkeley   | Chwesr Board                           | (510) 549-3183
 1512 Shattuck Ave Berkeley      | 1788 Shattuck Ave Berkeley      | Chwesr Board                           | (510) 704-8003
 1517 Shattuck Ave Berkeley      | 1517 Shattuck Avenue Berkeley   | Chez Panisse                           | (510) 548-5525
 1517 Shattuck Ave Berkeley      | 1788 Shattuck Ave Berkeley      | Chez Panisse                           | (510) 704-8003
 1520 Lakeside Dr Oakland        | 1520 Lakeside Drive Oakland     | Lake Chalet Sefood Bar & Grill         | (510) 208-5253
 1603 San Pablo Avenue Berkeley  | 1603 San Pablo Avenue Berkeley  | Cafe Fanny                             | (510) 524-5447
 1628 Webster Street Oakland     | 1628 Webster Street Oakland     | Spiuce Monbkeyt Cafe                   | (510) 268-0170
 1628 Webster Street Oakland     | 48 Webster Street Oakland       | Spiuce Monbkeyt Cafe                   | (510) 444-1233
 1788 Shattuck Ave Berkeley      | 1788 Shattuck Ave Berkeley      | Corso                                  | (510) 704-8003
 1799 University Ave Berkeley    | 1799 University Avenue Berkeley | Caffe Vednjfzia                        | (510) 849-4681
 1900 Telegraph Avenue Oakland   | 1900 Telegraph Avenue Oakland   | Fk                                     | (510) 286-0100
 1900 Telegraph Avenue Oakland   | 5008 Telegraph Avenue Oakland   | Fk                                     | (510) 652-4888
 1901 University Avenue Berkeley | 1799 University Avenue Berkeley | Udupi Palacer                          | (510) 849-4681
 1901 University Avenue Berkeley | 1901 University Avenue Berkeley | Udupi Palacer                          | (510) 843-6600
 1919 Fourth Street Berkeley     | 1919 Fourth Street Berkeley     | Spenger's Fresh Fish Grotto            | (510) 845-7771
 1920 Shattuck Ave Berkeley      | 1788 Shattuck Ave Berkeley      | Triple Rock Brewery-Ale House          | (510) 704-8003
